iter	Passed	Remaining
885	21024	2705
886	21046	2681
887	21069	2657
888	21090	2633
889	21111	2609
890	21133	2585
891	21154	2561
892	21175	2537
893	21199	2513
894	21221	2489
895	21245	2465
896	21267	2442
897	21285	2417
898	21306	2393
899	21327	2369
900	21348	2345
901	21369	2321
902	21392	2297
903	21413	2274
904	21435	2250
905	21460	2226
906	21482	2202
907	21506	2179
908	21528	2155
909	21549	2131
910	21570	2107
911	21612	2085
912	21635	2061
913	21656	2037
914	21678	2013
915	21699	1989
916	21722	1966
917	21744	1942
918	21764	1918
919	21788	1894
920	21811	1870
921	21832	1847
922	21856	1823
923	21877	1799
924	21899	1775
925	21922	1751
926	21942	1727
927	21965	1704
928	21988	1680
929	22009	1656
930	22031	1632
931	22054	1609
932	22076	1585
933	22100	1561
934	22123	1538
935	22145	1514
936	22168	1490
937	22190	1466
938	22212	1443
939	22234	1419
940	22256	1395
941	22278	1371
942	22302	1348
943	22324	1324
944	22347	1300
945	22370	1276
946	22391	1253
947	22413	1229
948	22435	1205
949	22456	1181
950	22480	1158
951	22502	1134
952	22522	1110
953	22544	1087
954	22566	1063
955	22588	1039
956	22609	1015
957	22633	992
958	22654	968
959	22677	944
960	22697	921
961	22717	897
962	22790	875
963	22818	852
964	22840	828
965	22861	804
966	22884	780
967	22907	757
968	22928	733
969	22949	709
970	22970	686
971	22991	662
972	23013	638
973	23033	614
974	23054	591
975	23078	567
976	23099	543
977	23122	520
978	23144	496
979	23166	472
980	23186	449
981	23209	425
982	23230	401
983	23252	378
984	23277	354
985	23299	330
986	23342	307
987	23364	283
988	23386	260
989	23409	236
990	23432	212
991	23456	189
992	23477	165
993	23499	141
994	23522	118
995	23544	94
996	23570	70
997	23591	47
998	23614	23
999	23638	0
